1,2A தொகுதி 1 - நட்பு
2,கேட்டல்
3,நண்பன் அளித்த ஊக்கம்
4,வாய்மொழியாகவோ ஒலிப்பகுதியாகவோ ஒளிக்காட்சியாகவோ பெறப்படும் தகவல்களைக் கவனமாகக் கேட்டும் பார்த்தும் அவை உணர்த்தும் நேரடிப்பொருள் குறித்த புரிந்துணர்வை வெளிப்படுத்துவர்.
5,பேசுதல்
6,நட்பின் சிறப்பு
7,சரியான உச்சரிப்புடன் தெளிவாகப் பேசுதல்.
8,2A தொகுதி 2 - பொழுதுபோக்கு
9,பேசுதல்
10,நுழைவாயில் - ஓய்தல் ஒழி
11,சரியான உச்சரிப்புடன் தெளிவாகப் பேசுதல்.
12,கேட்டலும் நோக்கலும்
13,அரங்கேற்றம்
14,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
15,பெறப்படும் தகவல்களிலுள்ள நேரடிப்பொருளையும் குறிப்புப்பொருளையும் கேட்டும் பார்த்தும் புரிந்துணர்வை வெளிப்படுத்துவர்.
16,2A தொகுதி 3 - சுற்றுச்சூழல் பாதுகாப்பு
17,கேட்டலும் நோக்கலும்
18,"இது முடிவன்று, இதுவே தொடக்கம்"
19,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
20,பெறப்படும் தகவல்களிலுள்ள நேரடிப்பொருளையும் குறிப்புப்பொருளையும் கேட்டும் பார்த்தும் புரிந்துணர்வை வெளிப்படுத்துவர்.
21,பேசுதல்
22,நுழைவாயில் - என் பங்கு
23,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
24,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வைப் பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
25,2A தொகுதி 4 - தமிழ்நாட்டு மன்னர்கள்
26,பேசுதல்
27,சுவைச் செய்திகள்
28,கேட்டலும் நோக்கலும்
29,கவரி வீசிய காவலன்
30,2B தொகுதி 1 - நேற்று இன்று நாளை
31,படித்தலும் நோக்கலும்
32,நடப்புச் செய்திகள்
33,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
34,இலக்கியச் சோலை
35,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
36,கேட்டலும் நோக்கலும்
37,கேட்டல் கருத்தறிதல் - சேற்றில் கால் வைத்தால்தான்
38,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வை பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
39,2B தொகுதி 2 - நிதியறிவு
40,பேசுதல்
41,வரவும் செலவும்
42,சூழலுக்கேற்பப் பொருத்தமான சொற்களையும் தொடர்புகளையும் பயன்படுத்தித் தன்னம்பிக்கையோடு பேசுதல்.
43,கேட்டலும் நோக்கலும்
44,நோக்கல் கருத்தறிதல் - சிந்தித்துச் செயற்படு
45,பெறப்படும் தகவல்களிலுள்ள நேரடிப்பொருளையும் குறிப்புப்பொருளையும் கேட்டும் பார்த்தும் புரிந்துணர்வை வெளிப்படுத்துவர்.
46,படித்தலும் நோக்கலும்
47,நடப்புச் செய்திகள்
48,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
49,இலக்கியச் சோலை
50,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
51,2B தொகுதி 3 - இளையர்களும் சமூகமும்
52,பேசுதல்
53,தொண்டூழியம்
54,சூழலுக்கேற்பப் பொருத்தமான சொற்களையும் தொடர்புகளையும் பயன்படுத்தித் தன்னம்பிக்கையோடு பேசுதல்.
55,படித்தலும் நோக்கலும்
56,படிப்போம்
57,பல்வேறு சூழல்களில் அமைந்த பனுவல்களைப் படித்துப் புரிந்துகொள்ளுதல்
58,நடப்புச் செய்திகள்
59,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
60,இலக்கியச் சோலை
61,"இலக்கியப் படைப்புகளைக் கேட்டும் பார்த்தும் மரபு, பண்பாடு, விழுமியம் தொடர்பான புரிந்துணர்வை வெளிப்படுத்துவர்."
62,கேட்டலும் நோக்கலும்
63,கேட்டல் கருத்தறிதல் - மாற்றத்தை உருவாக்குவோம்
64,தகவல்களை முன்னறிவோடு ஒப்பிட்டுப் பார்த்துப் புரிந்துணர்வை பல்வேறு வழிகளில் வெளிப்படுத்துவர்.
65,கூடுதல் வளங்கள்
66,நடப்புச் செய்திகள்
67,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
68,நானும் ஒரு படைப்பாளி
69,பல்வேறு எழுத்து வகைகளின் அமைப்புமுறைகளைப் புரிந்துகொண்டு படைப்பாக்கத்திறனுடன் தங்கள் கருத்துகளை முன்வைக்க அறிந்திருத்தல்.
