1,Primary 5
2,Chapter 1: Building Singapore's Identity
3,Describe the significance of the National Symbols of Singapore
4,"Analyse how the National Symbols, national events and places in Singapore help to build our national identity"
5,Chapter 2: Building Singapore's Defence
6,Describe how different people contributed to Singapore's defence
7,Chapter 3: Building a Cohesive Society
8,Evaluate how people from different groups contributed to the building of social cohesion in Singapore
9,Chapter 4: The Physical Environment of Southeast Asia
10,Locate the countries in Southeast Asia on a map
11,Describe the common geographical features found in Southeast Asia
12,Chapter 5: Life in Southeast Asia Today
13,Describe the economic and socio-cultural connections among countries in Southeast Asia
